filename,parentid,objectid,format,title,description,date,datedigitized,dateconstructed,latitude,longitude,location,locatedin,subject,filecreator,building,relatedobject,originalformat,originalrepository,originalcollection,originalcollectionfolder,rights
,,001,multiple,Whittle City Log Barn,"A log barn located near Whittle, Kentucky",1968,,,37.02184,-84.96153,Russell County,,barns; log houses,"Roberts, Warren",,,photograph,Indiana University Archives,"Warren E Roberts Collection, 1863-1999","Warren Roberts File - Material Culture Research - Architecture- Log Buildings-Kentucky, Log Barn Near Whittle City - Photo, 1968",Fair use
WhittleCityLogBarn.jpg,001,002,image/jpeg,Whittle City Log Barn,"A photograph of a log barn located near Whittle, Kentucky",1968,2023-11-07,,37.02184,-84.96153,Russell County,,barns; log houses,"Roberts, Warren",,,photograph,Indiana University Archives,"Warren E Roberts Collection, 1863-1999","Warren Roberts File - Material Culture Research - Architecture- Log Buildings-Kentucky, Log Barn Near Whittle City - Photo, 1968",Fair use
WhittleCityLogBarnBack.jpg,001,003,image/jpeg,Whittle City Log Barn Back,"The back of the photograph, reading B882 and 1968-30",1968,2023-11-07,,37.02184,-84.96153,Russell County,,barns; log houses,"Roberts, Warren",,,photograph,Indiana University Archives,"Warren E Roberts Collection, 1863-1999","Warren Roberts File - Material Culture Research - Architecture- Log Buildings-Kentucky, Log Barn Near Whittle City - Photo, 1968",Fair use
,,004,multiple,4H Craft Center Log Cabin A,"A log cabin located in the 4H Craft Center east of Lumberland in Falls State Park, which was labeled as log cabin A. This was the first building in the 4H camp.",1968,2023-11-07,,36.856706,-84.392197,McCreary County,Falls State Park,log house; John Abbott; Oocella Abbott; 4-H; Falls State Park,"Roberts, Warren",,010,photograph,Indiana University Archives,"Warren E Roberts Collection, 1863-1999","Warren Roberts File - Material Culture Research - Architecture- Log Buildings-Kentucky, McCreary County - 2 Log Buildings Making up 4-H Craft Center East of Lumberland at Falls State Park – Photos , 1968",Fair use
4HCraftCenterLogCabinA.jpg,004,005,image/jpeg,4H Craft Center Log Cabin A,A photograph depicting the exterior of 4H Craft Center Log Cabin A,1968,2023-11-07,,36.856706,-84.392197,McCreary County,Falls State Park,log house; John Abbott; Oocella Abbott; 4-H; Falls State Park,"Roberts, Warren",,,photograph,Indiana University Archives,"Warren E Roberts Collection, 1863-1999","Warren Roberts File - Material Culture Research - Architecture- Log Buildings-Kentucky, McCreary County - 2 Log Buildings Making up 4-H Craft Center East of Lumberland at Falls State Park – Photos , 1969",Fair use
4HCraftCenterLogCabinABack.jpg,004,006,image/jpeg,4H Craft Center Log Cabin A Back,"The back of the photograph, reading B882 and 1968-30",1968,2023-11-07,,36.856706,-84.392197,McCreary County,Falls State Park,log house; John Abbott; Oocella Abbott; 4-H; Falls State Park,"Roberts, Warren",,,photograph,Indiana University Archives,"Warren E Roberts Collection, 1863-1999","Warren Roberts File - Material Culture Research - Architecture- Log Buildings-Kentucky, McCreary County - 2 Log Buildings Making up 4-H Craft Center East of Lumberland at Falls State Park – Photos , 1970",Fair use
,,007,multiple,4H Craft Center Log Cabin B,"A log cabin located in the 4H Craft Center east of Lumberland in Falls State Park, which was labeled as Log Cabin B",1968,2023-11-07,,36.856706,-84.392197,McCreary County,Falls State Park,log house; John Abbott; Oocella Abbott; 4-H; Falls State Park,"Roberts, Warren",,,photograph,Indiana University Archives,"Warren E Roberts Collection, 1863-1999","Warren Roberts File - Material Culture Research - Architecture- Log Buildings-Kentucky, McCreary County - 2 Log Buildings Making up 4-H Craft Center East of Lumberland at Falls State Park – Photos , 1971",Fair use
4HCraftCenterLogCabinB.jpg,007,008,image/jpeg,4H Craft Center Log Cabin B,A photograph depicting the exterior of 4H CenterLog Cabin B,1968,2023-11-07,,36.856706,-84.392197,McCreary County,Falls State Park,log house; John Abbott; Oocella Abbott; 4-H; Falls State Park,"Roberts, Warren",,,photograph,Indiana University Archives,"Warren E Roberts Collection, 1863-1999","Warren Roberts File - Material Culture Research - Architecture- Log Buildings-Kentucky, McCreary County - 2 Log Buildings Making up 4-H Craft Center East of Lumberland at Falls State Park – Photos , 1972",Fair use
4HCraftCenterLogCabinBBack.jpg,007,009,image/jpeg,4H Craft Center Log Cabin B Back,"The back of the photograph, reading B 882 1968-29 Bldg. B Recently Rebuilt",1968,2023-11-07,,36.856706,-84.392197,McCreary County,Falls State Park,John Abbott; Oocella Abbott; 4-H; Falls State Park; historical markers,"Roberts, Warren",,,photograph,Indiana University Archives,"Warren E Roberts Collection, 1863-1999","Warren Roberts File - Material Culture Research - Architecture- Log Buildings-Kentucky, McCreary County - 2 Log Buildings Making up 4-H Craft Center East of Lumberland at Falls State Park – Photos , 1973",Fair use
,,010,multiple,4H Craft Center Sign,"A historical sign describing the history of the 4H Craft Center, describing the construction of Log Cabin A",1968,2023-11-07,,36.856706,-84.392197,McCreary County,Falls State Park,John Abbott; Oocella Abbott; 4-H; Falls State Park; historical markers,"Roberts, Warren",,004,photograph,Indiana University Archives,"Warren E Roberts Collection, 1863-1999","Warren Roberts File - Material Culture Research - Architecture- Log Buildings-Kentucky, McCreary County - 2 Log Buildings Making up 4-H Craft Center East of Lumberland at Falls State Park – Photos , 1974",Fair use
